Chimera compiler, version 0.1
Copyright © 2013 by Andres, Ian, Servio, ITESM CEM.
This program is free software; you may redistribute it under the terms of
the GNU General Public License version 3 or later.
This program has absolutely no warranty.

Included in this release:
   * Lexical analysis


===== Tokens from: "test_programs/binary.chimera" =====
[1] {VAR, "var", @(6, 1)}
[2] {IDENTIFIER, "option", @(7, 5)}
[3] {TYPE_DECLARE, ":", @(7, 11)}
[4] {STRING, "string", @(7, 13)}
[5] {END_OF_EXPRESSION, ";", @(7, 19)}
[6] {IDENTIFIER, "num", @(8, 5)}
[7] {TYPE_DECLARE, ":", @(8, 8)}
[8] {INTEGER, "integer", @(8, 10)}
[9] {END_OF_EXPRESSION, ";", @(8, 17)}
[10] {PROCEDURE, "procedure", @(10, 1)}
[11] {IDENTIFIER, "Binary", @(10, 11)}
[12] {PARENTHESIS_OPEN, "(", @(10, 17)}
[13] {IDENTIFIER, "num", @(11, 9)}
[14] {TYPE_DECLARE, ":", @(11, 12)}
[15] {INTEGER, "integer", @(11, 14)}
[16] {END_OF_EXPRESSION, ";", @(11, 21)}
[17] {PARENTHESIS_CLOSE, ")", @(12, 5)}
[18] {TYPE_DECLARE, ":", @(12, 6)}
[19] {STRING, "string", @(12, 8)}
[20] {END_OF_EXPRESSION, ";", @(12, 14)}
[21] {VAR, "var", @(14, 5)}
[22] {IDENTIFIER, "result", @(15, 9)}
[23] {TYPE_DECLARE, ":", @(15, 15)}
[24] {STRING, "string", @(15, 17)}
[25] {END_OF_EXPRESSION, ";", @(15, 23)}
[26] {IDENTIFIER, "remainder", @(16, 9)}
[27] {TYPE_DECLARE, ":", @(16, 18)}
[28] {INTEGER, "integer", @(16, 20)}
[29] {END_OF_EXPRESSION, ";", @(16, 27)}
[30] {BEGIN, "begin", @(18, 5)}
[31] {IF, "if", @(19, 9)}
[32] {IDENTIFIER, "num", @(19, 12)}
[33] {LESS_THAN_EQUAL, "<=", @(19, 16)}
[34] {INT_LITERAL, "0", @(19, 19)}
[35] {THEN, "then", @(19, 21)}
[36] {RETURN, "return", @(20, 13)}
[37] {STRING_LITERAL, ""0"", @(20, 20)}
[38] {END_OF_EXPRESSION, ";", @(20, 23)}
[39] {END, "end", @(21, 9)}
[40] {END_OF_EXPRESSION, ";", @(21, 12)}
[41] {IDENTIFIER, "result", @(23, 9)}
[42] {ASSIGN, ":=", @(23, 16)}
[43] {STRING_LITERAL, """", @(23, 19)}
[44] {END_OF_EXPRESSION, ";", @(23, 21)}
[45] {LOOP, "loop", @(25, 9)}
[46] {IDENTIFIER, "remainder", @(26, 13)}
[47] {ASSIGN, ":=", @(26, 23)}
[48] {IDENTIFIER, "num", @(26, 26)}
[49] {REM, "rem", @(26, 30)}
[50] {INT_LITERAL, "2", @(26, 34)}
[51] {END_OF_EXPRESSION, ";", @(26, 35)}
[52] {IDENTIFIER, "result", @(27, 13)}
[53] {ASSIGN, ":=", @(27, 20)}
[54] {IDENTIFIER, "CatStr", @(27, 23)}
[55] {PARENTHESIS_OPEN, "(", @(27, 29)}
[56] {IDENTIFIER, "IntToStr", @(27, 30)}
[57] {PARENTHESIS_OPEN, "(", @(27, 38)}
[58] {IDENTIFIER, "remainder", @(27, 39)}
[59] {PARENTHESIS_CLOSE, ")", @(27, 48)}
[60] {COMMA, ",", @(27, 49)}
[61] {IDENTIFIER, "result", @(27, 51)}
[62] {PARENTHESIS_CLOSE, ")", @(27, 57)}
[63] {END_OF_EXPRESSION, ";", @(27, 58)}
[64] {IDENTIFIER, "num", @(28, 13)}
[65] {ASSIGN, ":=", @(28, 17)}
